objectid,park_name,court_number,comments,data_source,lat,lng
683,Charles A Russo Playground,1, ,Nearmap 2023,40.02908895412126,-75.03364068395686
684,Charles T Mitchell Jr (Seger) Park,2,"2 Pickleball Courts; Building is named for Charles Seger (1977); Site is named for Charles T Mitchell Jr (1976).",Nearmap 2023,39.94348363496879,-75.15889747740555
685,William B Simons Recreation Center,2, ,Nearmap 2023,40.06169067111856,-75.15815140992937
686,William B Simons Recreation Center,3, ,Nearmap 2023,40.06165559402231,-75.15799141570123
687,William B Simons Recreation Center,4, ,Nearmap 2023,40.06160919559107,-75.15783681913076
688,William B Simons Recreation Center,5, ,Nearmap 2023,40.06157229617891,-75.15768061795889
689,William B Simons Recreation Center,6,Tennis Practice Wall,Nearmap 2023,40.061384791122045,-75.15790744555831
690,William B Simons Recreation Center,7,Tennis Practice Wall,Nearmap 2023,40.06134878919944,-75.15774872813657
691,Helen G Sturgis Playground,2,Pickleball Court,2024 October Site Visits,40.049512670102004,-75.12418863208097
692,Helen G Sturgis Playground,3,Pickleball Court,2024 October Site Visits,40.04948398878309,-75.12401850780905
693,Torresdale Recreation Center,2, ,Nearmap 2023,40.059252132956445,-74.99796615925773
694,Torresdale Recreation Center,3, ,Nearmap 2023,40.05932213512981,-74.99782307992916
695,Joseph F Vogt Playground,2, ,Nearmap 2023,40.02827769753137,-75.04782419951862
696,Water Tower Recreation Center,2, ,Nearmap 2023,40.07483710616968,-75.20029621267231
697,Water Tower Recreation Center,3, ,Nearmap 2023,40.07476060612109,-75.20015758597249
698,Water Tower Recreation Center,6, ,Nearmap 2023,40.074568890128205,-75.2005421333578
699,West Mill Creek Playground,1, ,Nearmap 2023,39.968976277330995,-75.22500889386792
700,Wharton Square,2, ,Nearmap 2023,39.93534570471208,-75.18358983536464
701,Wissinoming Park,2, ,Nearmap 2023,40.02512331733905,-75.06982330834367
702,Wisters Woods Park,0,Operated by Woodford Tennis Courts,Property Team 2024,40.03462635030954,-75.15814882365419
703,Wisters Woods Park,0,Operated by Woodford Tennis Courts,Property Team 2024,40.03410681600193,-75.1587399357578
704,Wisters Woods Park,0,Operated by Woodford Tennis Courts,Property Team 2024,40.03420244653535,-75.15863580169595
705,Wisters Woods Park,0,Operated by Woodford Tennis Courts,Property Team 2024,40.03428276324048,-75.15851860592089
706,William H (Billy) Markward Memorial Playground,0,Quickstart tennis court,Nearmap 2023,39.94847330659235,-75.18306060201489
707,East Poplar Playground,0,Renovated 2021. Known as East Poplar Field.,Nearmap 2023,39.968299472218895,-75.15019701043732
708,Northwood Park,0, ,PPR Archives 2023,40.02395148453797,-75.09119715955357
709,Northwood Park,0,Pickleball courts as well.,PPR Archives 2023,40.02387362132193,-75.09107538712459
710,Northwood Park,0, ,PPR Archives 2023,40.02379414078651,-75.09094856373362
